PS C:\Users\Konrad> & C:/Users/Konrad/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Konrad/GoL-TwT/GoL_class.py
Spiralint: 35274 Generations: 1145 Cycletime: 1
Spiralint: 35298 Generations: 1145 Cycletime: 1
Spiralint: 35382 Generations: 1282 Cycletime: 1
Spiralint: 35474 Generations: 1147 Cycletime: 1
Spiralint: 35587 Generations: 1146 Cycletime: 1
Spiralint: 35631 Generations: 1419 Cycletime: 1
Spiralint: 35762 Generations: 1207 Cycletime: 1
Spiralint: 36066 Generations: 1144 Cycletime: 1
Spiralint: 36143 Generations: 1419 Cycletime: 1
Spiralint: 36200 Generations: 1203 Cycletime: 1
Spiralint: 36393 Generations: 1145 Cycletime: 1
Spiralint: 36482 Generations: 1202 Cycletime: 1
Spiralint: 36514 Generations: 1200 Cycletime: 1
Spiralint: 36588 Generations: 1342 Cycletime: 1
Spiralint: 36670 Generations: 1037 Cycletime: 1
Spiralint: 36732 Generations: 1025 Cycletime: 1
Spiralint: 36762 Generations: 1174 Cycletime: 1
Spiralint: 36785 Generations: 1013 Cycletime: 1
Spiralint: 36840 Generations: 2714 Cycletime: 1
Spiralint: 36909 Generations: 1417 Cycletime: 1
Spiralint: 36963 Generations: 1285 Cycletime: 1
Spiralint: 36990 Generations: 1037 Cycletime: 1
Spiralint: 37062 Generations: 1203 Cycletime: 1
Spiralint: 37641 Generations: 1203 Cycletime: 1
Spiralint: 37679 Generations: 1419 Cycletime: 1
Spiralint: 37829 Generations: 1144 Cycletime: 1
Spiralint: 37834 Generations: 1144 Cycletime: 1
Spiralint: 37858 Generations: 1144 Cycletime: 1
Spiralint: 37859 Generations: 1143 Cycletime: 1
Spiralint: 37902 Generations: 1417 Cycletime: 1
Spiralint: 38095 Generations: 1419 Cycletime: 1
Spiralint: 38266 Generations: 1193 Cycletime: 1
Spiralint: 38376 Generations: 1360 Cycletime: 1
Spiralint: 38403 Generations: 1285 Cycletime: 1
Spiralint: 38737 Generations: 1144 Cycletime: 1
Spiralint: 38780 Generations: 1025 Cycletime: 1
Spiralint: 38801 Generations: 1144 Cycletime: 1
Spiralint: 38820 Generations: 1360 Cycletime: 1
Spiralint: 38849 Generations: 1144 Cycletime: 1
Spiralint: 38851 Generations: 1143 Cycletime: 1
Spiralint: 38902 Generations: 1283 Cycletime: 1
Spiralint: 38965 Generations: 1064 Cycletime: 1
Spiralint: 39035 Generations: 1101 Cycletime: 1
Spiralint: 39038 Generations: 1493 Cycletime: 1
Spiralint: 39218 Generations: 1204 Cycletime: 1
Spiralint: 39394 Generations: 1144 Cycletime: 1
Spiralint: 39650 Generations: 1144 Cycletime: 1
Spiralint: 39893 Generations: 1031 Cycletime: 1
Spiralint: 39898 Generations: 1031 Cycletime: 1
Spiralint: 39962 Generations: 1064 Cycletime: 1
Spiralint: 40081 Generations: 1204 Cycletime: 1
Spiralint: 40461 Generations: 1037 Cycletime: 1
Spiralint: 40471 Generations: 1101 Cycletime: 1
